name,date
A/Frederico_Westphalen/LACENRS_2130/2012|2012-07-26,2012.56557
A/Nanjing/1654/2010|2010-09-10,2010.69041
A/Netherlands/063/2011|2011-01-05,2011.01096
A/Qinghai/178/2010|2010-03-15,2010.20000
A/Nanjing/1655/2010|2010-09-10,2010.69041
A/Nanjing/1663/2010|2010-09-10,2010.69041
A/Texas/JMM_39/2012|2012-11-30,2012.91257
A/Chicago/YGA_04047/2012|2012-12-17,2012.95902
A/Boston/DOA2_145/2013|2013-01-20,2013.05205
A/Chicago/YGA_04188/2013|2013-01-16,2013.04110
A/Chicago/YGA_04120/2012|2012-12-30,2012.99454
A/Chicago/YGA_04198/2013|2013-01-23,2013.06027
A/Chicago/YGA_04065/2012|2012-12-19,2012.96448
A/Chicago/YGA_04200/2013|2013-01-25,2013.06575
A/Texas/JMM_43/2012|2012-12-02,2012.91803
A/Texas/JMM_59/2012|2012-12-08,2012.93443
A/Boston/DOA2_224/2013|2013-01-01,2013.00000
A/Boston/YGA_00016/2012|2012-12-28,2012.98907
A/Boston/YGA_01139/2013|2013-01-03,2013.00548
A/Boston/YGA_01157/2013|2013-01-06,2013.01370
A/Houston/JMM_166/2013|2013-01-20,2013.05205
A/Houston/JMM_137/2013|2013-01-11,2013.02740
A/Houston/JMM_69/2012|2012-12-14,2012.95082
A/Texas/JMM_1/2012|2012-11-03,2012.83880
A/Texas/JMM_35/2012|2012-11-29,2012.90984
A/Houston/JMM_139/2013|2013-01-12,2013.03014
A/Texas/JMM_3/2012|2012-11-11,2012.86066
A/Boston/DOA2_155/2012|2012-12-29,2012.99180
A/Boston/YGA_00015/2012|2012-12-28,2012.98907
A/Boston/YGA_00020/2012|2012-12-28,2012.98907
A/Boston/YGA_00038/2013|2013-01-11,2013.02740
A/Boston/YGA_01125/2013|2013-01-02,2013.00274
A/Boston/YGA_02005/2012|2012-12-17,2012.95902
A/Boston/YGA_02014/2012|2012-12-31,2012.99727
A/Boston/YGA_02015/2012|2012-12-31,2012.99727
A/Houston/JMM_180/2013|2013-02-08,2013.10411
A/Boston/YGA_00004/2012|2012-12-05,2012.92623
A/Boston/DOA2_141/2012|2012-12-21,2012.96995
