dist,support,nrSegments,information
0.986392,0.004115,2,high
1.521947,1.000000,2,high
0.983633,0.082305,2,high
3.560194,0.995885,2,high
2.774700,0.983539,2,high
2.543792,0.744856,2,high
1.512055,1.000000,2,high
5.035124,1.000000,2,high
1.376294,0.012346,2,high
2.884393,1.000000,2,high
8.157631,0.971193,2,high
1.642164,0.255144,2,high
1.273883,0.074074,2,high
6.708815,0.954733,2,high
2.745187,1.000000,3,high
1.776544,0.991770,3,high
0.821189,0.983539,3,high
0.986392,0.000000,3,high
0.850022,0.234568,3,high
1.418881,0.004115,3,high
0.983633,0.082305,3,high
3.560194,0.983539,3,high
2.671961,0.971193,3,high
1.512055,1.000000,3,high
1.879209,0.736626,3,high
4.099565,0.983539,3,high
5.035124,0.979424,3,high
1.376294,0.012346,3,high
2.884393,0.975309,3,high
8.157631,0.917695,3,high
1.642164,0.028807,3,high
1.273883,0.065844,3,high
4.312471,0.954733,3,high
0.596848,0.004115,3,high
2.537099,0.917695,4,high
3.888743,0.259259,4,high
1.776544,0.991770,4,high
2.884753,0.967078,4,high
0.821189,0.950617,4,high
0.986392,0.000000,4,high
0.850022,0.222222,4,high
1.418881,0.004115,4,high
0.983633,0.053498,4,high
2.745187,0.995885,4,high
3.560194,0.975309,4,high
2.671961,0.971193,4,high
0.797819,0.008230,4,high
1.512055,0.991770,4,high
1.879209,0.736626,4,high
4.099565,0.967078,4,high
1.917688,0.259259,4,high
1.376294,0.000000,4,high
2.884393,0.967078,4,high
8.157631,0.909465,4,high
1.642164,0.028807,4,high
1.273883,0.004115,4,high
4.312471,0.954733,4,high
0.596848,0.004115,4,high
4.852757,0.176955,2,high
4.352639,1.000000,2,high
5.462429,0.987654,2,high
11.605391,1.000000,2,high
3.011526,0.991770,2,high
5.955860,0.995885,2,high
1.644843,0.205761,2,high
5.117164,0.991770,3,high
4.852757,0.160494,3,high
12.696695,0.880658,3,high
3.085734,0.995885,3,high
4.352639,0.983539,3,high
3.903998,0.777778,3,high
5.462429,0.962963,3,high
11.605391,0.991770,3,high
1.141176,0.946502,3,high
3.011526,0.987654,3,high
2.281826,0.991770,3,high
1.644843,0.205761,3,high
4.429913,0.991770,3,high
4.205008,0.530864,3,high
5.117164,0.991770,4,high
4.852757,0.160494,4,high
12.696695,0.876543,4,high
3.085734,0.991770,4,high
4.352639,0.979424,4,high
3.903998,0.773663,4,high
5.462429,0.950617,4,high
11.605391,0.991770,4,high
1.141176,0.938272,4,high
3.011526,0.987654,4,high
2.281826,0.987654,4,high
1.644843,0.205761,4,high
4.429913,0.987654,4,high
3.222061,0.987654,4,high
4.205008,0.514403,4,high
2.861809,1.000000,2,high
2.038496,1.000000,2,high
2.258618,0.942387,2,high
2.736931,0.995885,2,high
0.266491,1.000000,2,high
0.832081,0.419753,2,high
7.782968,1.000000,2,high
0.623717,0.065844,2,high
2.586150,0.748971,3,high
2.861809,0.971193,3,high
1.059718,0.757202,3,high
3.401657,0.979424,3,high
2.038496,1.000000,3,high
2.258618,0.831276,3,high
0.266491,0.991770,3,high
1.283815,0.794239,3,high
0.832081,0.370370,3,high
7.782968,0.983539,3,high
0.623717,0.057613,3,high
4.640748,0.872428,3,high
1.262476,1.000000,3,high
1.103353,0.057613,3,high
1.352575,0.983539,3,high
0.715620,0.971193,3,high
1.622681,0.987654,3,high
2.586150,0.740741,4,high
2.861809,0.942387,4,high
1.059718,0.757202,4,high
3.401657,0.975309,4,high
2.038496,0.995885,4,high
2.258618,0.814815,4,high
0.266491,0.991770,4,high
1.283815,0.790123,4,high
0.832081,0.325103,4,high
3.690213,0.609053,4,high
0.623717,0.057613,4,high
4.640748,0.872428,4,high
1.262476,0.987654,4,high
1.103353,0.012346,4,high
0.023663,0.000000,4,high
3.542014,0.609053,4,high
1.352575,0.341564,4,high
0.715620,0.938272,4,high
1.622681,0.971193,4,high
0.590240,0.230453,2,high
0.611506,0.032922,2,high
3.026743,0.991770,2,high
1.836592,0.975309,2,high
1.471409,0.979424,2,high
0.900124,0.983539,2,high
6.154105,1.000000,2,high
0.257311,0.016461,2,high
2.392376,0.991770,2,high
2.236299,0.452675,2,high
0.402292,0.037037,2,high
1.014907,0.654321,2,high
5.164271,1.000000,2,high
1.680552,0.979424,2,high
1.823226,0.683128,2,high
0.567736,0.156379,2,high
2.548320,0.983539,2,high
3.637873,0.925926,2,high
1.503388,0.016461,3,high
0.590240,0.139918,3,high
0.611506,0.020576,3,high
3.026743,0.991770,3,high
1.453508,0.991770,3,high
1.836592,0.967078,3,high
1.471409,0.958848,3,high
0.900124,0.563786,3,high
2.787968,0.954733,3,high
0.257311,0.008230,3,high
1.336501,0.633745,3,high
2.843460,0.975309,3,high
2.392376,0.987654,3,high
