max,min,detection_probability,run
1.000000,0.000000,0.009662,99
2.000000,0.000000,0.091567,99
2.000000,1.000000,0.049275,99
3.000000,0.000000,0.161353,99
3.000000,1.000000,0.303233,99
3.000000,2.000000,0.028986,99
4.000000,0.000000,0.183136,99
4.000000,1.000000,0.451288,99
4.000000,2.000000,0.281056,99
4.000000,3.000000,0.229167,99
5.000000,0.000000,0.330113,99
5.000000,1.000000,0.545651,99
5.000000,2.000000,0.337958,99
5.000000,3.000000,0.572011,99
5.000000,4.000000,0.541408,99
5.000000,5.000000,0.713768,99
6.000000,0.000000,0.711260,99
6.000000,1.000000,0.552724,99
6.000000,2.000000,0.681551,99
6.000000,3.000000,0.519022,99
6.000000,4.000000,0.595060,99
6.000000,5.000000,0.695652,99
6.000000,6.000000,1.000000,99
7.000000,0.000000,0.690432,99
7.000000,1.000000,0.633799,99
7.000000,2.000000,0.712733,99
7.000000,3.000000,0.640019,99
7.000000,4.000000,0.695362,99
7.000000,5.000000,0.697723,99
7.000000,6.000000,0.253623,99
7.000000,7.000000,0.224638,99
8.000000,0.000000,0.798654,99
8.000000,1.000000,0.700234,99
8.000000,2.000000,0.628631,99
8.000000,3.000000,0.650747,99
8.000000,4.000000,0.711850,99
8.000000,5.000000,0.762630,99
8.000000,6.000000,0.649758,99
8.000000,7.000000,0.753623,99
8.000000,8.000000,0.827068,99
9.000000,0.000000,0.948470,99
9.000000,1.000000,0.943604,99
9.000000,2.000000,0.817090,99
9.000000,3.000000,0.840811,99
9.000000,4.000000,0.683491,99
9.000000,5.000000,0.793306,99
9.000000,6.000000,0.523870,99
9.000000,7.000000,0.524513,99
9.000000,8.000000,0.826087,99
9.000000,9.000000,0.844203,99
10.000000,0.000000,1.000000,99
10.000000,1.000000,0.926667,99
10.000000,2.000000,0.878623,99
10.000000,3.000000,0.831565,99
10.000000,4.000000,0.864893,99
10.000000,5.000000,0.818841,99
10.000000,6.000000,0.737379,99
10.000000,7.000000,0.685787,99
10.000000,8.000000,0.641472,99
10.000000,9.000000,0.385507,99
11.000000,0.000000,1.000000,99
11.000000,1.000000,0.903475,99
11.000000,2.000000,0.847121,99
11.000000,3.000000,0.922549,99
11.000000,4.000000,0.852192,99
11.000000,5.000000,0.844510,99
11.000000,6.000000,0.835472,99
11.000000,7.000000,0.843071,99
